workload,i,j,intersects,dec_vert,dec_bytes,total_vert,cert_level_r,cert_level_s,eta_star,band_b,band_w,mbr_gap,size_v,margin,abs_margin,log_abs_margin,phi_pair,family
tiger_06075_d0.25,6,6,1,10,68,1398,0,0,0.009643831910200368,1378,0.009643831910200368,0.0,1398,0.016354057572682896,0.016354057572682896,-1.7863744776681267,0.00715307582260372,tiger
tiger_06075_d0.25,7,7,1,166,640,166,3,3,0.0,75,0.000410823418470828,0.0,166,9.378765716387051e-06,9.378765716387051e-06,-5.027854266469735,1.0,tiger
tiger_06075_d0.25,8,8,1,14,84,100,3,3,0.00015921754854685932,83,0.010734932370540571,0.0,100,0.0005035182081597779,0.0005035182081597779,-3.29798481906346,0.14,tiger
tiger_06075_d0.25,9,9,1,61,247,104,2,3,6.719018967668661e-05,41,0.0008974470585919787,0.0,104,5.201115563754506e-05,5.201115563754506e-05,-4.283903488164834,0.5865384615384616,tiger
tiger_06075_d0.25,10,10,1,22,102,224,2,1,0.00028265245748069877,129,0.00064697919616489,0.0,224,0.00013156615899639201,0.00013156615899639201,-3.88085580081866,0.09821428571428571,tiger
tiger_06075_d0.25,11,11,1,110,422,110,2,3,0.0,41,0.000332442916583134,0.0,110,3.780620038396596e-05,3.780620038396596e-05,-4.422436956619433,1.0,tiger
tiger_06075_d0.25,12,12,1,16,75,114,2,2,9.207338731000218e-05,61,0.0006186577401811925,0.0,114,0.00015082203078267746,0.00015082203078267746,-3.8215352129572824,0.14035087719298245,tiger
tiger_06075_d0.25,13,13,1,12,67,100,2,0,0.00024863138306105095,42,0.00034313724805243724,0.0,100,0.00033742089693703653,0.00033742089693703653,-3.471828023176417,0.12,tiger
tiger_06075_d0.25,14,14,1,17,88,168,1,1,0.0002822986594931435,105,0.00042802775449806357,0.0,168,0.00024415747116719895,0.00024415747116719895,-3.6123299800780955,0.10119047619047619,tiger
tiger_06075_d0.25,16,16,1,28,160,1326,0,0,0.014447992894468055,1313,0.014447992894461333,0.0,1326,0.03437756080207832,0.03437756080207832,-1.4637249411261006,0.021116138763197588,tiger
tiger_06075_d0.25,17,17,1,170,652,170,2,2,0.0,51,0.00028521613745622785,0.0,170,4.3681182525410846e-05,4.3681182525410846e-05,-4.359705603096548,1.0,tiger
tiger_06075_d0.25,18,18,1,30,159,386,2,0,0.0006345816406469837,314,0.0006587171829322351,0.0,386,0.00030881164120048847,0.00030881164120048847,-3.5103063351234782,0.07772020725388601,tiger
tiger_06075_d0.25,19,19,1,17,90,158,1,2,0.00030031923453457385,106,0.0009437837284151166,0.0,158,0.0002458651474075605,0.0002458651474075605,-3.609303028508096,0.10759493670886076,tiger
